cdscode,county,district,school,latitude,longitude,graduation_rate,low_grad_rate,still_enrolled_rate,chronicabsenteeismrate,unexcused_absences_percent,met_uccsu_grad_reqs_rate,percent__eligible_free_k12,frpm_count_k12,stu_tch_ratio,pct_experienced,cohortstudents,pct_senior_cohort,stu_adm_ratio,grade_retention_ratio,pct_bachelors_plus,stu_psv_ratio,pct_bachelors
09618530930164,El Dorado,El Dorado Union High,Union Mine High,38.681607,-120.83827,91.9,0,4.1,17.0,25.9,48.2,0.3342222222222222,376.0,23.1,0.819672131147541,246.0,0.5031111111111111,316.9,1.13671875,0.45901639344262296,375.0,0.14754098360655737
09618530932756,El Dorado,El Dorado Union High,El Dorado High,38.732336,-120.81274,95.8,0,1.1,16.8,31.1,37.6,0.30642504118616143,372.0,23.1,0.9565217391304348,261.0,0.42833607907743,263.9,0.6988950276243094,0.5072463768115942,202.3,0.13043478260869565
09618530936302,El Dorado,El Dorado Union High,Ponderosa High,38.673083,-120.94318,94.0,0,2.4,8.2,11.2,53.1,0.1580427446569179,281.0,24.3,0.9,467.0,0.4938132733408324,386.5,1.0199115044247788,0.5111111111111111,355.6,0.1111111111111111
09619030937805,El Dorado,Lake Tahoe Unified,South Tahoe High,38.907361,-120.01261,93.7,0,0.0,0.0,41.5,44.4,0.3615916955017301,433.0,21.0,0.8285714285714286,238.0,0.4818339100346021,578.0,0.8090614886731392,0.15714285714285714,188.0,0.37142857142857144
10621170113555,Fresno,Clovis Unified,Clovis North High,36.890690,-119.73344,95.3,0,0.3,3.6,16.4,71.4,0.1547911547911548,650.0,21.1,0.9238095238095239,620.0,0.48976248976248976,336.7,0.9843014128728415,0.047619047619047616,359.1,0.44285714285714284
10621171030196,Fresno,Clovis Unified,Clovis West High,36.859235,-119.76356,93.1,0,1.7,9.5,25.1,61.0,0.2972328244274809,967.0,21.2,0.8580645161290322,419.0,0.45658396946564883,324.5,0.8811188811188811,0.06451612903225806,219.9,0.41935483870967744
10621171030501,Fresno,Clovis Unified,Buchanan High,36.857338,-119.71317,96.7,0,0.2,5.1,24.6,61.2,0.25027932960893856,986.0,22.5,0.9144385026737968,630.0,0.48677839851024207,300.3,0.9160935350756534,0.053475935828877004,274.7,0.43315508021390375
10621171030683,Fresno,Clovis Unified,Clovis East High,36.797552,-119.63892,94.8,0,0.5,7.8,26.3,64.2,0.3384559092572265,1492.0,21.7,0.8846153846153846,598.0,0.47200878155872666,373.4,0.9037138927097662,0.04807692307692308,341.6,0.42788461538461536
10621171031053,Fresno,Clovis Unified,Clovis High,36.818233,-119.68183,91.4,0,3.0,11.5,30.1,62.5,0.3237704918032787,1502.0,21.5,0.8669950738916257,627.0,0.5092213114754098,327.5,1.1166429587482218,0.04926108374384237,292.8,0.4975369458128079
10621251031376,Fresno,Coalinga-Huron Unified,Coalinga High,36.144332,-120.36327,84.8,1,1.1,51.5,31.2,34.4,0.6860739575137687,1059.0,22.7,0.84375,264.0,0.45712037765538943,423.7,0.7309782608695652,0.359375,317.8,0.25
